,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
1422,20210331,4044,"Central Glass Co.,Ltd.",セントラル硝子,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1423,20210331,4045,"TOAGOSEI CO.,LTD.",東亞合成,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1436,20210331,4061,Denka Company Limited,デンカ,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1437,20210331,4062,"IBIDEN CO.,LTD.",イビデン,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
1438,20210331,4063,"Shin-Etsu Chemical Co.,Ltd.",信越化学工業,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,1,TOPIX Core30
1443,20210331,4088,AIR WATER INC.,エア・ウォーター,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1444,20210331,4091,NIPPON SANSO HOLDINGS CORPORATION,日本酸素ホールディングス,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1448,20210331,4095,"NIHON PARKERIZING CO.,LTD.",日本パーカライジング,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1458,20210331,4114,"NIPPON SHOKUBAI CO.,LTD.",日本触媒,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1461,20210331,4118,KANEKA CORPORATION,カネカ,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1465,20210331,4151,"Kyowa Kirin Co.,Ltd.",協和キリン,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,4,TOPIX Mid400
1482,20210331,4182,"Mitsubishi Gas Chemical Company,Inc.",三菱瓦斯化学,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1483,20210331,4183,"Mitsui Chemicals,Inc.",三井化学,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1484,20210331,4185,JSR CORPORATION,ＪＳＲ,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1485,20210331,4186,"TOKYO OHKA KOGYO CO.,LTD.",東京応化工業,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1487,20210331,4188,Mitsubishi Chemical Holdings Corporation,三菱ケミカルホールディングス,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1490,20210331,4202,Daicel Corporation,ダイセル,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1491,20210331,4203,"Sumitomo Bakelite Company,Limited",住友ベークライト,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1492,20210331,4204,"Sekisui Chemical Co.,Ltd.",積水化学工業,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1493,20210331,4205,ZEON CORPORATION,日本ゼオン,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1494,20210331,4206,"Aica Kogyo Company,Limited",アイカ工業,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1495,20210331,4208,"Ube Industries,Ltd.",宇部興産,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
