Date,6758.T,7203.T,9984.T,^N225,average
2018-08-01,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-08-02,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-08-03,10000,63908.70643145028,10000,10000.0,23477.17660786257
2018-08-06,10000,61494.07555498638,10000,10000.0,22873.518888746596
2018-08-07,10000,57943.35118996297,10000,10000.0,21985.83779749074
2018-08-08,10000,57943.35118996297,10000,10000.0,21985.83779749074
2018-08-09,10000,56213.69595020314,10000,10000.0,21553.423987550785
2018-08-10,10000,54293.464815157626,10000,10000.0,21073.366203789406
2018-08-13,10000,54278.89520596356,10000,10000.0,21069.72380149089
2018-08-14,10000,52654.09272564572,10000,10000.0,20663.52318141143
2018-08-15,10000,52357.797650990135,10000,10000.0,20589.449412747534
2018-08-16,10000,50954.352433240405,10000,10000.0,20238.5881083101
2018-08-17,10000,52280.66578515211,10000,10000.0,20570.16644628803
2018-08-20,10000,53219.89843287839,10000,10000.0,20804.9746082196
2018-08-21,10000,55047.32485873324,10000,10000.0,21261.831214683312
2018-08-22,10000,58413.530863843334,10000,10000.0,22103.382715960834
2018-08-23,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-08-24,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-08-27,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-08-28,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-08-29,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-08-30,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-08-31,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-09-03,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-09-04,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-09-05,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-09-06,10000,60889.563656226645,10000,10000.0,22722.39091405666
2018-09-07,10000,62977.56608588036,10000,10000.0,23244.39152147009
2018-09-10,10000,66381.51320903677,10000,10000.0,24095.378302259192
2018-09-11,10000,66381.51320903677,10000,10000.0,24095.378302259192
2018-09-12,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-13,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-14,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-17,10000,68312.19120682532,10000,,29437.397068941773
2018-09-18,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-19,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-20,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-21,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-24,10000,68312.19120682532,10000,,29437.397068941773
2018-09-25,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-26,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-27,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-09-28,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-10-01,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-10-02,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-10-03,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-10-04,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-10-05,10000,68312.19120682532,10000,10000.0,24578.04780170633
2018-10-08,10000,68312.19120682532,10000,,29437.397068941773
2018-10-09,10000,64598.90161136449,10000,10000.0,23649.725402841123
2018-10-10,10000,63391.46572571005,10000,10000.0,23347.866431427512
2018-10-11,10000,63512.13382077086,10000,10000.0,23378.033455192715
